,service_id,date,exception_type
184,71C00D4F,20200301,1
185,71C00D4F,20200307,1
186,71C00D4F,20200308,1
187,EF46AC88,20200214,1
188,A68579AD,20200130,1
189,A68579AD,20200131,1
190,A68579AD,20200203,1
191,A68579AD,20200204,1
192,A68579AD,20200205,1
193,A68579AD,20200206,1
194,A68579AD,20200207,1
195,A68579AD,20200210,1
196,A68579AD,20200211,1
197,A68579AD,20200212,1
198,A68579AD,20200213,1
199,A68579AD,20200218,1
200,A68579AD,20200219,1
201,A68579AD,20200220,1
202,A68579AD,20200221,1
203,A68579AD,20200224,1
204,A68579AD,20200225,1
205,A68579AD,20200226,1
206,A68579AD,20200227,1
207,A68579AD,20200228,1
208,A68579AD,20200302,1
209,A68579AD,20200303,1
210,A68579AD,20200304,1
211,A68579AD,20200305,1
212,A68579AD,20200306,1
213,585B6D8C,20200215,1
214,1047FEC9,20200130,1
215,1047FEC9,20200131,1
216,B55B3339,20200130,1
217,91EE72DB,20200131,1
218,91EE72DB,20200203,1
219,91EE72DB,20200204,1
220,91EE72DB,20200205,1
221,91EE72DB,20200206,1
222,91EE72DB,20200207,1
223,91EE72DB,20200210,1
224,91EE72DB,20200211,1
225,91EE72DB,20200212,1
226,91EE72DB,20200213,1
227,91EE72DB,20200214,1
228,91EE72DB,20200218,1
229,91EE72DB,20200219,1
230,91EE72DB,20200220,1
231,91EE72DB,20200221,1
232,91EE72DB,20200224,1
233,91EE72DB,20200225,1
234,91EE72DB,20200226,1
235,91EE72DB,20200227,1
236,91EE72DB,20200228,1
237,91EE72DB,20200302,1
238,91EE72DB,20200303,1
239,91EE72DB,20200304,1
240,91EE72DB,20200305,1
241,91EE72DB,20200306,1
242,098BC4D2,20200203,1
243,098BC4D2,20200204,1
244,098BC4D2,20200205,1
245,098BC4D2,20200206,1
246,098BC4D2,20200207,1
247,098BC4D2,20200210,1
248,098BC4D2,20200211,1
249,098BC4D2,20200212,1
250,098BC4D2,20200213,1
251,098BC4D2,20200214,1
252,098BC4D2,20200218,1
253,098BC4D2,20200219,1
254,098BC4D2,20200220,1
255,098BC4D2,20200221,1
256,098BC4D2,20200224,1
257,098BC4D2,20200225,1
258,098BC4D2,20200226,1
259,098BC4D2,20200227,1
260,098BC4D2,20200228,1
261,098BC4D2,20200302,1
262,098BC4D2,20200303,1
263,098BC4D2,20200304,1
264,098BC4D2,20200305,1
265,098BC4D2,20200306,1
266,F6BAF312,20200203,1
267,F6BAF312,20200204,1
268,F6BAF312,20200205,1
269,F6BAF312,20200206,1
270,F6BAF312,20200210,1
271,F6BAF312,20200211,1
272,F6BAF312,20200212,1
273,F6BAF312,20200213,1
274,F6BAF312,20200214,1
275,F6BAF312,20200218,1
276,F6BAF312,20200219,1
277,F6BAF312,20200220,1
278,F6BAF312,20200221,1
279,F6BAF312,20200224,1
280,F6BAF312,20200225,1
281,F6BAF312,20200226,1
282,F6BAF312,20200227,1
283,F6BAF312,20200228,1
284,F6BAF312,20200302,1
285,F6BAF312,20200303,1
286,F6BAF312,20200304,1
287,F6BAF312,20200305,1
288,F6BAF312,20200306,1
289,15BCF660,20200203,1
290,15BCF660,20200204,1
291,15BCF660,20200205,1
292,15BCF660,20200206,1
293,15BCF660,20200207,1
294,15BCF660,20200210,1
295,15BCF660,20200211,1
296,15BCF660,20200212,1
297,15BCF660,20200213,1
298,15BCF660,20200214,1
299,9C45CB62,20200130,1
300,9C45CB62,20200131,1
301,9C45CB62,20200218,1
302,9C45CB62,20200219,1
303,9C45CB62,20200220,1
304,9C45CB62,20200221,1
305,9C45CB62,20200224,1
306,9C45CB62,20200225,1
307,9C45CB62,20200226,1
308,9C45CB62,20200227,1
309,9C45CB62,20200228,1
310,9C45CB62,20200302,1
311,9C45CB62,20200303,1
312,9C45CB62,20200304,1
313,9C45CB62,20200305,1
314,9C45CB62,20200306,1
315,B234687E,20200222,1
316,B234687E,20200223,1
317,97989FB3,20200202,1
318,97989FB3,20200209,1
319,97989FB3,20200215,1
320,97989FB3,20200216,1
321,97989FB3,20200217,1
322,97989FB3,20200229,1
323,97989FB3,20200301,1
324,97989FB3,20200307,1
325,97989FB3,20200308,1
326,E001786B,20200209,1
327,553A5B4C,20200202,1
328,553A5B4C,20200215,1
329,553A5B4C,20200216,1
330,553A5B4C,20200217,1
331,553A5B4C,20200222,1
332,553A5B4C,20200223,1
333,553A5B4C,20200229,1
334,553A5B4C,20200301,1
335,553A5B4C,20200307,1
336,553A5B4C,20200308,1
